route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
route_24,,Samaypur Badli,Flexible e-Rickshaw from Samaypur Badli,,715,,,,,,
route_237,,Huda City Centre,Flexible Gramin-Seva from Huda City Centre,,715,,,,,,
route_28,,Keshav Puram,Flexible e-Rickshaw from Keshav Puram,,715,,,,,,
route_305,,Old Faridabad,Flexible e-Rickshaw from Old Faridabad,,715,,,,,,
route_219,,Laxmi nagar,Flexible e-Rickshaw from Laxmi nagar,,715,,,,,,
route_158,,Civil Lines,Flexible e-Rickshaw from Civil Lines,,715,,,,,,
route_1,,Harkesh Nagar,Flexible e-Rickshaw from Harkesh Nagar,,715,,,,,,
route_8,,Kanhaiya Nagar,Flexible e-Rickshaw from Kanhaiya Nagar,,715,,,,,,
route_52,,Raj Bagh,Flexible e-Rickshaw from Raj Bagh,,715,,,,,,
route_185,,Uttam Ngr East,Flexible Shared Auto from Uttam Ngr East,,715,,,,,,
route_252,,Sector 53-54,Flexible Gramin-Seva from Sector 53-54,,715,,,,,,
route_3,,Kanhaiya Nagar,Flexible e-Rickshaw from Kanhaiya Nagar,,715,,,,,,
route_15,,Pratap Nagar,Flexible e-Rickshaw from Pratap Nagar,,715,,,,,,
route_126,,Pandit Shri Ram Sharma,Flexible e-Rickshaw from Pandit Shri Ram Sharma,,715,,,,,,
route_271,,Dashrathpuri,Flexible e-Rickshaw from Dashrathpuri,,715,,,,,,
route_25,,Samaypur Badli,Flexible e-Rickshaw from Samaypur Badli,,715,,,,,,
route_224,,New Ashok Nagar,Flexible e-Rickshaw from New Ashok Nagar,,715,,,,,,
route_7,,Kanhaiya Nagar,Flexible e-Rickshaw from Kanhaiya Nagar,,715,,,,,,
route_17,,Keshav Puram,Flexible e-Rickshaw from Keshav Puram,,715,,,,,,
route_200,,Chhatar Pur,Flexible e-Rickshaw from Chhatar Pur,,715,,,,,,
route_46,,Shastri Park,Flexible e-Rickshaw from Shastri Park,,715,,,,,,
route_170,,New Delhi,Flexible e-Rickshaw from New Delhi,,715,,,,,,
route_77,,Mayapuri,Flexible e-Rickshaw from Mayapuri,,715,,,,,,
route_43,,Kirti Nagar New,Flexible e-Rickshaw from Kirti Nagar New,,715,,,,,,
route_119,,Mundka IA,Flexible Gramin-Seva from Mundka IA,,715,,,,,,
