shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_715_4,28.499384,77.185036,23,1361.878
shp_715_4,28.49856,77.185059,24,1453.594
shp_715_4,28.498533,77.187508,25,1693.124
shp_715_4,28.498533,77.187508,26,1693.124
shp_715_4,28.498507,77.189995,27,1936.467
shp_715_4,28.498516,77.190292,28,1965.655
shp_715_4,28.498516,77.190292,29,1965.655
shp_715_4,28.498529,77.190674,30,2002.818
shp_715_4,28.498558,77.192581,31,2189.77
shp_715_4,28.498577,77.192986,32,2229.254
shp_715_5,28.506262,77.175171,1,0.0
shp_715_5,28.505983,77.174889,2,41.634
shp_715_5,28.505722,77.174706,3,76.027
shp_715_5,28.504601,77.175751,4,237.473
shp_715_5,28.503992,77.176262,5,321.69
shp_715_5,28.503824,77.17646,6,348.6
shp_715_5,28.503639,77.176712,7,380.47
shp_715_5,28.503479,77.177025,8,416.124
shp_715_5,28.503319,77.177399,9,456.94
shp_715_5,28.503139,77.178085,10,526.919
shp_715_5,28.502966,77.17894,11,612.924
shp_715_5,28.502747,77.179916,12,711.641
shp_715_5,28.502693,77.180206,13,740.219
shp_715_5,28.502693,77.180206,14,740.219
shp_715_5,28.502686,77.180244,15,744.371
shp_715_5,28.50259,77.180237,16,755.159
shp_715_5,28.50264,77.179916,17,786.962
shp_715_5,28.500978,77.179886,18,971.81
shp_715_5,28.500721,77.179893,19,1000.577
shp_715_5,28.499752,77.179901,20,1108.381
shp_715_5,28.499449,77.179893,21,1142.232
shp_715_5,28.498087,77.179901,22,1293.86
shp_715_5,28.498087,77.179901,23,1293.86
shp_715_5,28.498026,77.179863,24,1301.294
shp_715_5,28.497972,77.179901,25,1308.177
shp_715_5,28.497921,77.179962,26,1316.563
shp_715_5,28.497759,77.180199,27,1345.48
shp_715_5,28.497684,77.180321,28,1360.439
shp_715_5,28.497627,77.180443,29,1373.985
shp_715_5,28.497601,77.180542,30,1384.206
shp_715_5,28.49732,77.180511,31,1415.591
shp_715_5,28.496805,77.180481,32,1473.023
shp_715_5,28.49659,77.180489,33,1496.972
shp_715_5,28.495947,77.180496,34,1568.629
shp_715_5,28.49539,77.18045,35,1630.673
shp_715_5,28.494841,77.180481,36,1691.996
shp_715_5,28.494507,77.180473,37,1729.057
shp_715_5,28.494404,77.180466,38,1740.543
shp_715_5,28.4942,77.180458,39,1763.423
shp_715_5,28.494108,77.180473,40,1773.543
shp_715_5,28.493305,77.180466,41,1863.071
shp_715_5,28.493044,77.180458,42,1892.133
shp_715_5,28.492773,77.180428,43,1922.387
shp_715_6,28.385818,77.298965,1,0.0
shp_715_6,28.385777,77.299026,2,7.447
shp_715_6,28.385429,77.298706,3,57.077
shp_715_6,28.385191,77.298523,4,89.169
shp_715_6,28.384899,77.298325,5,127.183
shp_715_6,28.384462,77.298065,6,181.765
shp_715_6,28.383919,77.297821,7,247.105
shp_715_6,28.38364,77.297699,8,280.108
shp_715_6,28.383255,77.297585,9,324.365
shp_715_6,28.382982,77.297531,10,355.169
shp_715_6,28.382343,77.297455,11,426.841
shp_715_6,28.381832,77.29744,12,483.63
shp_715_6,28.380888,77.297493,13,589.032
shp_715_6,28.37813,77.297691,14,896.557
shp_715_6,28.378019,77.297714,15,909.064
shp_715_6,28.377949,77.297752,16,917.737
shp_715_6,28.377874,77.297821,17,928.513
shp_715_6,28.377821,77.297882,18,936.99
shp_715_6,28.377811,77.297905,19,939.182
shp_715_6,28.377728,77.297981,20,951.566
shp_715_6,28.377666,77.298096,21,964.403
shp_715_6,28.377628,77.298294,22,984.371
shp_715_6,28.377684,77.29937,23,1090.146
shp_715_6,28.377867,77.302376,24,1385.21
shp_715_6,28.377996,77.304909,25,1633.855
shp_715_6,28.378176,77.308907,26,2025.368
shp_715_6,28.378336,77.311363,27,2266.748
shp_715_6,28.378336,77.311363,28,2266.748
shp_715_6,28.378428,77.313072,29,2434.317
shp_715_6,28.378487,77.313927,30,2518.517
shp_715_6,28.378365,77.313934,31,2532.182
shp_715_6,28.378342,77.313499,32,2574.947
shp_715_6,28.378321,77.312737,33,2649.727
shp_715_6,28.378244,77.311447,34,2776.166
shp_715_6,28.377861,77.303955,35,3511.732
shp_715_6,28.37779,77.302383,36,3665.84
shp_715_6,28.377611,77.299377,37,3960.988
shp_715_6,28.37756,77.298302,38,4066.367
shp_715_6,28.377546,77.298157,39,4080.198
shp_715_6,28.377487,77.298012,40,4095.87
shp_715_6,28.37739,77.297958,41,4108.269
shp_715_6,28.377316,77.297859,42,4120.837
shp_715_6,28.377281,77.297844,43,4125.056
shp_715_6,28.377281,77.297844,44,4125.056
shp_715_6,28.377237,77.297829,45,4130.123
shp_715_6,28.377064,77.297806,46,4149.595
shp_715_6,28.37281,77.298111,47,4624.087
shp_715_6,28.372709,77.296036,48,4827.707
shp_715_6,28.372492,77.292641,49,5161.08
shp_715_6,28.372492,77.292641,50,5161.08
shp_715_6,28.372324,77.290031,51,5416.702
shp_715_6,28.372324,77.289902,52,5429.534
shp_715_6,28.372292,77.289909,53,5433.004
shp_715_6,28.372252,77.289894,54,5437.545
shp_715_6,28.372217,77.289879,55,5441.993
shp_715_6,28.372175,77.289825,56,5448.528
shp_715_6,28.372156,77.289772,57,5454.421
shp_715_6,28.37216,77.289696,58,5461.887
shp_715_6,28.372181,77.28965,59,5466.856
